"filename", "language", "JavaScript", "PHP", "CSS", "HTML", "SQL", "comment", "blank", "total"
"e:\SEMESTER4\PWEB\EDIN\buatAkun.php", "PHP", 0, 75, 0, 0, 0, 0, 12, 87
"e:\SEMESTER4\PWEB\EDIN\css\animation.css", "CSS", 0, 0, 20, 0, 0, 1, 4, 25
"e:\SEMESTER4\PWEB\EDIN\css\artikel.css", "CSS", 0, 0, 86, 0, 0, 3, 13, 102
"e:\SEMESTER4\PWEB\EDIN\css\bootsrap\bootstrap-glyphicons.css", "CSS", 0, 0, 803, 0, 0, 5, 2, 810
"e:\SEMESTER4\PWEB\EDIN\css\bootsrap\bootstrap-glyphicons.min.css", "CSS", 0, 0, 1, 0, 0, 5, 0, 6
"e:\SEMESTER4\PWEB\EDIN\css\bootsrap\bootstrap-grid.css", "CSS", 0, 0, 3659, 0, 0, 7, 206, 3872
"e:\SEMESTER4\PWEB\EDIN\css\bootsrap\bootstrap-grid.min.css", "CSS", 0, 0, 1, 0, 0, 6, 0, 7
"e:\SEMESTER4\PWEB\EDIN\css\bootsrap\bootstrap-reboot.css", "CSS", 0, 0, 262, 0, 0, 8, 55, 325
"e:\SEMESTER4\PWEB\EDIN\css\bootsrap\bootstrap-reboot.min.css", "CSS", 0, 0, 1, 0, 0, 7, 0, 8
"e:\SEMESTER4\PWEB\EDIN\css\bootsrap\bootstrap.css", "CSS", 0, 0, 9084, 0, 0, 7, 1207, 10298
"e:\SEMESTER4\PWEB\EDIN\css\bootsrap\bootstrap.min.css", "CSS", 0, 0, 1, 0, 0, 6, 0, 7
"e:\SEMESTER4\PWEB\EDIN\css\bootsrap\style.css", "CSS", 0, 0, 52, 0, 0, 0, 15, 67
"e:\SEMESTER4\PWEB\EDIN\css\cadanganheader.php", "PHP", 0, 61, 0, 0, 0, 0, 4, 65
"e:\SEMESTER4\PWEB\EDIN\css\footer.css", "CSS", 0, 0, 57, 0, 0, 3, 7, 67
"e:\SEMESTER4\PWEB\EDIN\css\forum.css", "CSS", 0, 0, 87, 0, 0, 8, 12, 107
"e:\SEMESTER4\PWEB\EDIN\css\header.css", "CSS", 0, 0, 162, 0, 0, 12, 34, 208
